trial_number,backgroundDir,backgroundSpeed,numFrames,patchDir,patchPos,patchSize,patchSpeed
0,0,0,120,0,0,5,0
1,0,0,502,0,0,5,20
2,0,0,502,180,0,5,20
3,0,0,143,0,0,5,80
4,0,0,143,180,0,5,80
5,0,0,527,0,0,15,20
6,0,0,527,180,0,15,20
7,0,0,150,0,0,15,80
8,0,0,150,180,0,15,80
9,0,20,490,0,0,5,0
10,0,20,502,180,0,5,20
11,0,20,143,0,0,5,80
12,0,20,143,180,0,5,80
13,0,20,527,180,0,15,20
14,0,20,150,0,0,15,80
15,0,20,150,180,0,15,80
16,180,20,490,0,0,5,0
17,180,20,502,0,0,5,20
18,180,20,143,0,0,5,80
19,180,20,143,180,0,5,80
20,180,20,527,0,0,15,20
21,180,20,150,0,0,15,80
22,180,20,150,180,0,15,80
23,0,80,140,0,0,5,0
24,0,80,502,0,0,5,20
25,0,80,502,180,0,5,20
26,0,80,143,180,0,5,80
27,0,80,527,0,0,15,20
28,0,80,527,180,0,15,20
29,0,80,150,180,0,15,80
30,180,80,140,0,0,5,0
31,180,80,502,0,0,5,20
32,180,80,502,180,0,5,20
33,180,80,143,0,0,5,80
34,180,80,527,0,0,15,20
35,180,80,527,180,0,15,20
