,date_of_acquisition,donor_name,genotype_name,imaging_depth,ophys_session_id,project_code,specimen_id,stimulus_name,storage_directory,targeted_structure
0,2019-07-30 19:07:19,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469325,Slc17a7-IRES2-Cre,275,914298484,OpenscopeMotionPilot,883606638,,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606638/ophys_session_914298484/,VISpm
1,2019-07-30 21:36:25,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469326,Slc17a7-IRES2-Cre,275,914399969,OpenscopeMotionPilot,883606662,full_field_test,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606662/ophys_session_914399969/,VISpm
2,2019-07-30 18:18:37,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469325,Slc17a7-IRES2-Cre,275,914256111,OpenscopeMotionPilot,883606638,,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606638/ophys_session_914256111/,VISpm
3,2019-08-05 19:52:31,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469325,Slc17a7-IRES2-Cre,275,917456401,OpenscopeMotionPilot,883606638,from psych,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606638/ophys_session_917456401/,VISam
4,2019-08-05 21:27:01,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469326,Slc17a7-IRES2-Cre,260,917552587,OpenscopeMotionPilot,883606662,from psych,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606662/ophys_session_917552587/,VISpm
5,2019-08-14 15:04:32,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-468083,Slc17a7-IRES2-Cre,275,923201739,OpenscopeMotionPilot,887108507,,/allen/programs/braintv/production/neuralcoding/prod57/specimen_887108507/ophys_session_923201739/,VISal
6,2019-08-06 17:14:54,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-469325,Slc17a7-IRES2-Cre,245,918097749,OpenscopeMotionPilot,883606638,from psych,/allen/programs/braintv/production/neuralcoding/prod57/specimen_883606638/ophys_session_918097749/,VISpm
7,2019-08-14 18:22:05,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-468987,Slc17a7-IRES2-Cre,230,923531162,OpenscopeMotionPilot,887108528,,/allen/programs/braintv/production/neuralcoding/prod57/specimen_887108528/ophys_session_923531162/,VISl
8,2019-08-06 15:19:52,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-468083,Slc17a7-IRES2-Cre,275,918094058,OpenscopeMotionPilot,887108507,from psych,/allen/programs/braintv/production/neuralcoding/prod57/specimen_887108507/ophys_session_918094058/,VISal
9,2019-08-07 15:21:01,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-468083,Slc17a7-IRES2-Cre,275,918719340,OpenscopeMotionPilot,887108507,checkerboardStim,/allen/programs/braintv/production/neuralcoding/prod57/specimen_887108507/ophys_session_918719340/,VISal
