,start,end,trial,trial_number,backgroundDir,backgroundSpeed,numFrames,patchDir,patchPos,patchSize,patchSpeed,duration
0,6069.0,6129.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
1,15358.0,15418.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
2,32536.0,32596.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
3,34065.0,34125.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
4,47607.0,47668.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
5,51231.0,51292.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
6,53597.0,53657.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
7,74667.0,74727.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
8,80118.0,80179.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
9,81325.0,81386.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
10,86102.0,86162.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
11,96285.0,96344.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,59.0
12,3763.0,4016.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
13,5431.0,5683.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
14,9443.0,9695.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
15,10405.0,10658.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
16,12316.0,12568.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
17,27943.0,28195.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
18,41906.0,42159.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
19,59560.0,59813.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
20,63377.0,63630.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
21,66348.0,66601.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
22,76708.0,76961.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
23,88435.0,88678.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,243.0
24,9311.0,9383.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
25,14954.0,15026.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
26,48501.0,48573.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
27,51791.0,51863.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
28,57248.0,57320.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
