,start,end,start_frame,Unnamed: 0,approachSpeed,centerLocation,direction,dotNum,dotSize,dotSpeed,motion,duration
0,144.0,174.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
1,19046.0,19076.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
2,24885.0,24915.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
3,36443.0,36473.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
4,50108.0,50138.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
5,54683.0,54713.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
6,68648.0,68678.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
7,81831.0,81861.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
8,97302.0,97332.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
9,99288.0,99318.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
10,204.0,234.0,8160,136,,,left,1000,5,400,rotation,30.0
11,20731.0,20761.0,8160,136,,,left,1000,5,400,rotation,30.0
12,27775.0,27805.0,8160,136,,,left,1000,5,400,rotation,30.0
13,33072.0,33102.0,8160,136,,,left,1000,5,400,rotation,30.0
14,48964.0,48994.0,8160,136,,,left,1000,5,400,rotation,30.0
15,58234.0,58264.0,8160,136,,,left,1000,5,400,rotation,30.0
16,67143.0,67174.0,8160,136,,,left,1000,5,400,rotation,31.0
17,86527.0,86557.0,8160,136,,,left,1000,5,400,rotation,30.0
18,92005.0,92035.0,8160,136,,,left,1000,5,400,rotation,30.0
19,100131.0,100161.0,8160,136,,,left,1000,5,400,rotation,30.0
20,264.0,294.0,6780,113,,,left,1000,5,10,rotation,30.0
21,12243.0,12274.0,6780,113,,,left,1000,5,10,rotation,31.0
22,25487.0,25517.0,6780,113,,,left,1000,5,10,rotation,30.0
23,40717.0,40747.0,6780,113,,,left,1000,5,10,rotation,30.0
24,46857.0,46887.0,6780,113,,,left,1000,5,10,rotation,30.0
25,63712.0,63742.0,6780,113,,,left,1000,5,10,rotation,30.0
26,65277.0,65307.0,6780,113,,,left,1000,5,10,rotation,30.0
27,83517.0,83547.0,6780,113,,,left,1000,5,10,rotation,30.0
28,89717.0,89747.0,6780,113,,,left,1000,5,10,rotation,30.0
29,100974.0,101004.0,6780,113,,,left,1000,5,10,rotation,30.0
30,324.0,354.0,5700,95,,,left,300,5,400,rotation,30.0
31,12484.0,12514.0,5700,95,,,left,300,5,400,rotation,30.0
32,24945.0,24975.0,5700,95,,,left,300,5,400,rotation,30.0
33,36684.0,36714.0,5700,95,,,left,300,5,400,rotation,30.0
34,44449.0,44479.0,5700,95,,,left,300,5,400,rotation,30.0
35,55164.0,55194.0,5700,95,,,left,300,5,400,rotation,30.0
36,70454.0,70484.0,5700,95,,,left,300,5,400,rotation,30.0
37,81651.0,81681.0,5700,95,,,left,300,5,400,rotation,30.0
38,97001.0,97031.0,5700,95,,,left,300,5,400,rotation,30.0
39,102418.0,102449.0,5700,95,,,left,300,5,400,rotation,31.0
40,384.0,414.0,8100,135,,,right,300,8,400,rotation,30.0
41,13207.0,13237.0,8100,135,,,right,300,8,400,rotation,30.0
42,26450.0,26480.0,8100,135,,,right,300,8,400,rotation,30.0
43,34456.0,34487.0,8100,135,,,right,300,8,400,rotation,31.0
44,47519.0,47549.0,8100,135,,,right,300,8,400,rotation,30.0
